,Unnamed: 0,condition,bin,type,subject,itemnum,cloze,constraint,contrast_unexpected,accuracy,w1,w2,rating,region,amplitude,context,entropy,maxcloze
0,0,HC.UNEXP.VB,9,0,6,529,1,1,-1,1,犯下,死罪,1.0,anterior,2.7173160666666667,犯下,15.25,0.4571428571428571
1,1,LC.UNEXP.VB,10,0,6,744,1,0,-2,1,降低,分数,0.9166666666666666,anterior,5.582634333333334,降低,331.95,0.1351351351351351
2,2,LC.AN.VB,7,0,6,62,0,0,0,1,会见,措施,0.25,anterior,2.021310333333333,会见,25.3,0.3142857142857143
3,3,HC.AN.CL,1,1,6,396,0,1,0,1,一套,春水,0.125,anterior,-9.557630333333334,套,555.22,0.1935483870967742
4,4,LC.UNEXP.VB,10,0,6,419,1,0,-2,0,整顿,思想,0.75,anterior,12.993991166666666,整顿,15.25,0.1621621621621622
5,5,HC.UNEXP.CL,4,1,6,356,1,1,-1,1,一枚,戒指,0.875,anterior,11.7473,枚,289.61,0.5161290322580645
6,6,HC.AN.CL,1,1,6,225,0,1,0,1,一丛丛,歌曲,0.125,anterior,1.5157883333333335,丛丛,3.3,0.2727272727272727
7,7,LC.UNEXP.CL,5,1,6,412,1,0,-2,1,一场,培训,0.875,anterior,-5.7759963333333335,场,1619.26,0.1290322580645161
8,8,HC.UNEXP.CL,4,1,6,685,1,1,-1,1,一线,希望,0.875,anterior,18.101092333333334,线,3.3,0.5681818181818182
9,9,HC.AN.VB,6,0,6,722,0,1,0,1,参加,电脑,0.16666666666666666,anterior,-1.7162016666666673,参加,1276.28,0.3888888888888889
10,10,HC.UNEXP.CL,4,1,6,292,1,1,-1,1,一支,舞,0.8333333333333334,anterior,-19.761806666666672,支,412.48,0.3870967741935484
11,11,HC.EXP.VB,8,0,6,417,2,1,0,1,承担,责任,0.875,anterior,3.0512283000000004,承担,118.78,0.7222222222222222
12,12,HC.UNEXP.VB,9,0,6,212,1,1,-1,1,判处,监禁,0.75,anterior,5.656434666666666,判处,23.41,0.5428571428571428
13,13,LC.AN.CL,2,1,6,403,0,0,0,1,一堆,水流,0.125,anterior,-2.8574293333333336,堆,127.41,0.1290322580645161
14,14,LC.UNEXP.VB,10,0,6,522,1,0,-2,1,接受,计划,0.875,anterior,19.105544000000002,接受,1076.89,0.1142857142857143
15,15,HC.AN.VB,6,0,6,234,0,1,0,1,扭转,错误,0.25,anterior,11.094353666666667,扭转,16.48,0.3142857142857143
16,16,LC.AN.VB,7,0,6,511,0,0,0,1,汲取,学校,0.125,anterior,18.067505,汲取,12.84,0.2727272727272727
17,17,LC.UNEXP.CL,5,1,6,224,1,0,-2,1,一道,瀑布,0.75,anterior,7.532749033333332,道,123.9,0.1935483870967742
18,18,LC.UNEXP.VB,10,0,6,297,1,0,-2,1,持有,黄金,0.8333333333333334,anterior,12.140883666666667,持有,12.24,0.09090909090909091
19,19,HC.EXP.VB,8,0,6,231,2,1,0,1,环游,世界,0.75,anterior,7.194282333333333,环游,0.0,0.8636363636363636
20,20,HC.AN.CL,1,1,6,622,0,1,0,1,一届,车,0.08333333333333337,anterior,18.034122,届,1612.7,0.4516129032258064
21,21,HC.UNEXP.VB,9,0,6,81,1,1,-1,1,践踏,草坪,0.875,anterior,-9.956759,践踏,23.75,0.4571428571428571
22,22,HC.UNEXP.VB,9,0,6,393,1,1,-1,1,改善,健康,0.75,anterior,12.599570666666667,改善,420.97,0.4848484848484849
