,condition,bin,type,subject,itemnum,cloze,constraint,contrast_unexpected,accuracy,w1,w2,region,amplitude
0,HC.UNEXP.VB,9,0,6,529,1,1,-1,1,犯下,死罪,anterior,7.482783
1,LC.UNEXP.VB,10,0,6,744,1,0,-2,1,降低,分数,anterior,2.3575148333333336
2,LC.AN.VB,7,0,6,62,0,0,0,1,会见,措施,anterior,4.321860999999999
3,HC.AN.CL,1,1,6,396,0,1,0,1,一套,春水,anterior,-3.978349
4,LC.UNEXP.VB,10,0,6,419,1,0,-2,0,整顿,思想,anterior,9.030830333333334
5,HC.UNEXP.CL,4,1,6,356,1,1,-1,1,一枚,戒指,anterior,7.632045666666666
6,HC.AN.CL,1,1,6,225,0,1,0,1,一丛丛,歌曲,anterior,1.1227103333333333
7,LC.UNEXP.CL,5,1,6,412,1,0,-2,1,一场,培训,anterior,-7.443325259999999
8,HC.UNEXP.CL,4,1,6,685,1,1,-1,1,一线,希望,anterior,17.122343333333333
9,HC.AN.VB,6,0,6,722,0,1,0,1,参加,电脑,anterior,-10.46129
10,HC.UNEXP.CL,4,1,6,292,1,1,-1,1,一支,舞,anterior,-16.834637999999998
11,HC.EXP.VB,8,0,6,417,2,1,0,1,承担,责任,anterior,-4.432346666666667
12,HC.UNEXP.VB,9,0,6,212,1,1,-1,1,判处,监禁,anterior,4.112774
13,LC.AN.CL,2,1,6,403,0,0,0,1,一堆,水流,anterior,-5.979467666666667
14,LC.UNEXP.VB,10,0,6,522,1,0,-2,1,接受,计划,anterior,-3.3017043333333334
15,HC.AN.VB,6,0,6,234,0,1,0,1,扭转,错误,anterior,-0.79671
16,LC.AN.VB,7,0,6,511,0,0,0,1,汲取,学校,anterior,16.592575999999998
17,LC.UNEXP.CL,5,1,6,224,1,0,-2,1,一道,瀑布,anterior,3.9665846666666673
18,LC.UNEXP.VB,10,0,6,297,1,0,-2,1,持有,黄金,anterior,0.2231826666666663
19,HC.EXP.VB,8,0,6,231,2,1,0,1,环游,世界,anterior,3.688394333333333
20,HC.AN.CL,1,1,6,622,0,1,0,1,一届,车,anterior,7.5961116666666655
21,HC.UNEXP.VB,9,0,6,81,1,1,-1,1,践踏,草坪,anterior,-9.154067666666664
22,HC.UNEXP.VB,9,0,6,393,1,1,-1,1,改善,健康,anterior,0.17409800000000017
23,HC.AN.VB,6,0,6,76,0,1,0,0,承包,沙子,anterior,-6.220415533333333
24,LC.UNEXP.VB,10,0,6,629,1,0,-2,1,告诉,女孩,anterior,5.541551933333333
25,HC.UNEXP.CL,4,1,6,227,1,1,-1,1,一栋,住宅,anterior,2.186148333333333
26,HC.AN.CL,1,1,6,537,0,1,0,1,一通,沙子,anterior,5.567323666666668
27,HC.EXP.VB,8,0,6,392,2,1,0,1,考上,大学,anterior,13.280846666666667
28,HC.EXP.VB,8,0,6,65,2,1,0,1,施加,压力,anterior,4.225940333333334
29,LC.UNEXP.CL,5,1,6,232,1,0,-2,1,一批,民工,anterior,1.8977370000000002
30,HC.AN.CL,1,1,6,738,0,1,0,1,一记,新闻,anterior,15.261863333333332
31,LC.AN.CL,2,1,6,618,0,0,0,1,一美元,掌声,anterior,-13.259790666666667
32,LC.UNEXP.CL,5,1,6,516,1,0,-2,0,一班,孩子,anterior,6.861926
33,HC.EXP.VB,8,0,6,359,2,1,0,1,推卸,责任,anterior,15.190570999999998
34,LC.AN.CL,2,1,6,64,0,0,0,1,一组,学问,anterior,1.4865513333333331
35,LC.UNEXP.VB,10,0,6,732,1,0,-2,1,保持,体重,anterior,2.1039196
36,HC.AN.VB,6,0,6,233,0,1,0,1,兴建,车,anterior,5.106969333333335
37,LC.AN.CL,2,1,6,215,0,0,0,0,一根,运动,anterior,6.426732666666666
38,HC.UNEXP.VB,9,0,6,626,1,1,-1,1,适应,变化,anterior,-9.370200000000002
39,LC.AN.CL,2,1,6,226,0,0,0,1,一项,黄金,anterior,0.003791800000000123
40,LC.AN.VB,7,0,6,746,0,0,0,1,侵害,黄金,anterior,4.198604
41,HC.UNEXP.CL,4,1,6,749,1,1,-1,1,一伙,小偷,anterior,8.356083333333334
42,HC.UNEXP.CL,4,1,6,281,1,1,-1,1,一头,羊,anterior,1.1274693333333332
43,LC.AN.VB,7,0,6,672,0,0,0,1,设立,猪,anterior,-0.6441509999999999
44,HC.AN.VB,6,0,6,289,0,1,0,1,健全,时间,anterior,4.248561
45,HC.AN.VB,6,0,6,674,0,1,0,1,就任,墙,anterior,7.351949333333334
46,HC.EXP.CL,3,1,6,340,2,1,0,1,一拨,人,anterior,6.573610333333334
47,LC.UNEXP.CL,5,1,6,106,1,0,-2,1,一则,寻人启事,anterior,3.1695380000000006
48,HC.EXP.CL,3,1,6,613,2,1,0,0,一头,牛,anterior,0.7113293666666665
49,HC.EXP.VB,8,0,6,405,2,1,0,1,歪曲,事实,anterior,15.175821666666666
50,HC.AN.CL,1,1,6,679,0,1,0,1,一群,账,anterior,-2.1014736666666667
51,LC.AN.CL,2,1,6,517,0,0,0,1,一米,小说,anterior,-2.596177773333333
52,HC.AN.CL,1,1,6,104,0,1,0,1,一尊,时间,anterior,7.767915666666666
53,HC.UNEXP.VB,9,0,6,420,1,1,-1,1,从事,劳动,anterior,8.096453333333333
54,LC.UNEXP.CL,5,1,6,668,1,0,-2,1,一批,产品,anterior,5.632686666666667
55,HC.UNEXP.CL,4,1,6,680,1,1,-1,1,一阵阵,波浪,anterior,14.552955333333335
56,LC.UNEXP.CL,5,1,6,540,1,0,-2,1,一条,短信,anterior,0.07148633333333354
57,LC.AN.VB,7,0,6,681,0,0,0,1,压缩,电话,anterior,9.224381
58,LC.UNEXP.VB,10,0,6,677,1,0,-2,1,罢免,法官,anterior,-1.9366903333333336
59,HC.AN.VB,6,0,6,238,0,1,0,1,回顾,桌子,anterior,-10.452961666666667
60,LC.AN.CL,2,1,6,275,0,0,0,1,一份,墙,anterior,6.564696333333333
61,HC.UNEXP.CL,4,1,6,688,1,1,-1,1,一拨,船夫,anterior,0.7519536666666665
62,LC.UNEXP.VB,10,0,6,623,1,0,-2,1,严守,承诺,anterior,7.371096666666666
63,HC.EXP.VB,8,0,6,515,2,1,0,1,吃,饭,anterior,13.251278
64,HC.EXP.CL,3,1,6,729,2,1,0,1,一桶,水,anterior,-10.210626
65,HC.UNEXP.VB,9,0,6,115,1,1,-1,0,宏扬,美德,anterior,7.979609166666667
66,HC.AN.VB,6,0,6,99,0,1,0,1,扩大,空气,anterior,8.485920323333332
67,HC.AN.CL,1,1,6,75,0,1,0,0,一平方公里,空气,anterior,-4.226798666666666
68,HC.EXP.VB,8,0,6,100,2,1,0,1,激化,矛盾,anterior,2.441426666666667
69,HC.EXP.VB,8,0,6,414,2,1,0,1,竞选,总统,anterior,-8.369863666666667
70,HC.EXP.VB,8,0,6,536,2,1,0,1,讨回,公道,anterior,14.437202999999998
71,LC.UNEXP.VB,10,0,6,218,1,0,-2,1,踏进,社会,anterior,8.525474
72,HC.UNEXP.CL,4,1,6,348,1,1,-1,1,一枝,藤,anterior,-1.3711766666666663
73,LC.AN.CL,2,1,6,748,0,0,0,1,一系列,米,anterior,-16.542005333333332
74,LC.AN.VB,7,0,6,735,0,0,0,1,发布,土地,anterior,-6.325261
75,LC.UNEXP.VB,10,0,6,276,1,0,-2,0,安置,设备,anterior,-6.369624916333333
76,LC.UNEXP.CL,5,1,6,229,1,0,-2,1,一大/JJ,老师,anterior,17.11718433333333
77,HC.UNEXP.VB,9,0,6,355,1,1,-1,1,重建,大学,anterior,8.480933
78,LC.AN.CL,2,1,6,614,0,0,0,1,一点,鞋子,anterior,-4.1373240000000004
79,LC.AN.CL,2,1,6,673,0,0,0,1,一次,线,anterior,11.500600333333333
